ID	positive	negative
AP024742.1-145321-145334-145368-145381	2.4786668e-05	0.9999752
AP024742.1-154171-154185-154343-154357	1.2081848e-05	0.99998796
AP024742.1-162554-162567-162662-162675	0.010804027	0.98919594
AP024742.1-167150-167163-167230-167243	0.000973025	0.999027
AP024742.1-173639-173650-173896-173907	1.14108666e-07	0.9999999
AP024742.1-175194-175207-175401-175414	6.1016486e-08	0.9999999
AP024742.1-176318-176333-176494-176509	0.25449046	0.74550956
AP024742.1-183553-183566-183604-183617	0.64439845	0.35560158
AP024742.1-187231-187244-187482-187495	0.99997485	2.512516e-05
AP024742.1-190846-190857-191050-191061	1.1653201e-08	1.0
AP024742.1-195202-195215-195381-195394	3.2897862e-07	0.99999964
AP024742.1-200580-200593-200636-200649	1.4977246e-07	0.9999999
AP024742.1-202663-202674-202929-202940	0.35151935	0.6484807
AP024742.1-210548-210561-210661-210674	0.0013049416	0.9986951
AP024742.1-218404-218416-218475-218487	2.2527434e-05	0.99997747
AP024742.1-219471-219484-219560-219573	0.28381264	0.71618736
AP024742.1-234909-234922-235179-235192	3.7435268e-07	0.99999964
AP024742.1-242216-242227-242505-242516	1.328448e-06	0.9999987
AP024742.1-247623-247634-247845-247856	0.6150082	0.38499185
AP024742.1-253084-253097-253130-253143	0.21874827	0.7812518
AP024742.1-256525-256536-256682-256693	7.738641e-08	0.9999999
AP024742.1-258697-258710-258903-258916	6.87663e-07	0.9999993
AP024742.1-260211-260223-260354-260366	3.7461055e-07	0.99999964
AP024742.1-261795-261806-262032-262043	4.0002316e-08	1.0
AP024742.1-264397-264408-264598-264609	1.939112e-10	1.0
AP024742.1-270411-270422-270612-270623	3.6739923e-05	0.9999633
AP024742.1-274410-274424-274473-274487	0.19159013	0.80840987
AP024742.1-274646-274659-274698-274711	0.0011739084	0.9988261
AP024742.1-275125-275138-275230-275243	5.2470123e-06	0.99999475
AP024742.1-277119-277132-277174-277187	0.000765362	0.9992347
AP024742.1-282219-282232-282288-282301	0.67224854	0.32775146
AP024742.1-290122-290136-290378-290392	5.642369e-09	1.0
AP024742.1-290134-290152-290300-290318	0.0009707494	0.9990293
AP024742.1-293682-293693-293834-293845	9.036925e-07	0.99999905
AP024742.1-305649-305660-305719-305730	8.066038e-05	0.9999193
AP024742.1-307049-307062-307273-307286	1.010033e-06	0.99999905
AP024742.1-308179-308192-308414-308427	1.2783538e-07	0.9999999
AP024742.1-319741-319752-319859-319870	9.89585e-07	0.99999905
AP024742.1-320611-320625-320728-320742	0.00010207807	0.99989796
AP024742.1-325713-325724-325916-325927	0.36090225	0.63909775
AP024742.1-329415-329428-329559-329572	0.00017958721	0.9998204
AP024742.1-352514-352528-352616-352630	1.2341373e-07	0.9999999
AP024742.1-353762-353777-353827-353842	0.0049065044	0.99509346
AP024742.1-357228-357242-357297-357311	0.41619545	0.5838046
AP024742.1-360549-360563-360602-360616	0.28160137	0.71839863
AP024742.1-365714-365727-365839-365852	7.140574e-08	0.9999999
AP024742.1-369518-369532-369662-369676	1.0	2.1481122e-11
AP024742.1-371434-371448-371498-371512	0.4688736	0.5311264
AP024742.1-375748-375760-375808-375820	0.9971306	0.0028694167
AP024742.1-377807-377821-378017-378031	0.61097836	0.38902164
AP024742.1-386184-386197-386391-386404	6.1793404e-10	1.0
AP024742.1-386816-386828-387041-387053	0.00016480249	0.99983513
AP024742.1-395257-395268-395316-395327	0.6425164	0.35748354
AP024742.1-405887-405901-405952-405966	0.41444132	0.5855588
AP024742.1-409174-409188-409363-409377	2.3210813e-08	1.0
AP024742.1-413675-413688-413897-413910	1.5824746e-08	1.0
AP024742.1-415681-415692-415921-415932	2.2692877e-06	0.99999774
AP024742.1-419502-419515-419629-419642	0.8282712	0.17172882
AP024742.1-421280-421291-421561-421572	4.3390766e-10	1.0
AP024742.1-421875-421889-421985-421999	0.81130695	0.18869303
AP024742.1-424374-424387-424640-424653	9.325353e-07	0.99999905
AP024742.1-437897-437908-437949-437960	6.212599e-05	0.9999379
AP024742.1-439618-439629-439718-439729	0.0010653858	0.99893457
AP024742.1-447252-447266-447335-447349	1.1612081e-05	0.99998844
AP024742.1-451694-451705-451950-451961	1.254173e-08	1.0
AP024742.1-459731-459744-459989-460002	1.03566276e-08	1.0
AP024742.1-463975-463989-464055-464069	1.1326551e-05	0.9999887
AP024742.1-468226-468239-468305-468318	0.6634724	0.33652765
AP024742.1-471506-471517-471695-471706	5.7812736e-07	0.9999994
AP024742.1-471706-471719-471789-471802	6.805725e-07	0.9999993
AP024742.1-471960-471974-472172-472186	3.6683173e-06	0.9999963
AP024742.1-479425-479438-479642-479655	0.6095637	0.3904363
AP024742.1-483320-483331-483520-483531	2.1690282e-06	0.99999785
AP024742.1-494759-494772-494861-494874	8.3936635e-07	0.99999917
AP024742.1-495590-495603-495762-495775	3.2604632e-08	1.0
AP024742.1-499532-499546-499646-499660	7.1270747e-06	0.99999285
AP024742.1-503005-503018-503242-503255	4.4185222e-07	0.9999995
AP024742.1-504049-504063-504112-504126	0.031545382	0.96845466
AP024742.1-506694-506705-506970-506981	1.753027e-06	0.9999982
AP024742.1-516015-516028-516223-516236	0.31734142	0.6826586
AP024742.1-516682-516693-516820-516831	2.5322264e-05	0.9999747
AP024742.1-522151-522163-522381-522393	1.7472585e-08	1.0
AP024742.1-529229-529242-529435-529448	0.62643534	0.37356472
AP024742.1-543178-543192-543342-543356	9.651101e-07	0.99999905
AP024742.1-546576-546587-546618-546629	0.012806509	0.9871935
AP024742.1-549540-549553-549794-549807	4.957558e-05	0.9999504
AP024742.1-554319-554332-554504-554517	5.2240768e-08	1.0
AP024742.1-555678-555692-555882-555896	0.9936633	0.0063367356
AP024742.1-556322-556335-556579-556592	1.2962987e-09	1.0
AP024742.1-559807-559820-559969-559982	0.5936625	0.40633747
AP024742.1-564015-564028-564101-564114	7.5380044e-06	0.9999925
AP024742.1-575832-575845-575892-575905	0.028525474	0.9714745
AP024742.1-586386-586400-586464-586478	0.45918632	0.5408137
AP024742.1-587090-587103-587296-587309	2.5110646e-07	0.99999976
AP024742.1-587412-587426-587654-587668	5.3213794e-10	1.0
AP024742.1-589250-589261-589355-589366	0.00043025345	0.9995697
AP024742.1-597270-597283-597487-597500	0.00015125942	0.9998487
AP024742.1-601149-601162-601226-601239	0.0003202534	0.9996798
AP024742.1-608300-608313-608487-608500	7.042954e-06	0.99999297
AP024742.1-615583-615596-615817-615830	4.337844e-07	0.9999995
AP024742.1-617173-617190-617222-617239	0.64458907	0.35541093
AP024742.1-617242-617256-617315-617329	0.63041145	0.36958855
AP024742.1-622966-622979-623187-623200	0.5877559	0.41224405
AP024742.1-634636-634648-634762-634774	1.0891129e-07	0.9999999
AP024742.1-635007-635019-635293-635305	2.8042592e-07	0.99999976
AP024742.1-636634-636648-636687-636701	2.124934e-06	0.99999785
AP024742.1-640722-640735-640809-640822	7.8987995e-07	0.99999917
AP024742.1-649520-649531-649596-649607	0.017524386	0.98247564
AP024742.1-652072-652085-652281-652294	1.9266679e-08	1.0
AP024742.1-655123-655134-655170-655181	9.122571e-06	0.9999908
AP024742.1-657533-657544-657612-657623	0.003910852	0.9960892
AP024742.1-662832-662845-662972-662985	1.5596092e-07	0.9999999
AP024742.1-670112-670126-670349-670363	6.885824e-07	0.9999993
AP024742.1-670645-670658-670834-670847	0.42983207	0.570168
AP024742.1-671519-671532-671580-671593	0.46123254	0.53876746
AP024742.1-675340-675353-675471-675484	7.447319e-08	0.9999999
AP024742.1-682006-682018-682082-682094	0.39430815	0.60569185
AP024742.1-685848-685859-685961-685972	0.9997844	0.00021557254
AP024742.1-692268-692281-692389-692402	2.4418017e-05	0.99997556
AP024742.1-693450-693463-693608-693621	5.9643304e-07	0.9999994
AP024742.1-693649-693663-693935-693949	4.033271e-10	1.0
AP024742.1-697471-697482-697561-697572	1.460008e-05	0.99998546
AP024742.1-705049-705062-705192-705205	0.3529406	0.6470594
AP024742.1-707903-707916-708181-708194	5.0629626e-07	0.9999995
AP024742.1-708843-708856-709067-709080	8.454322e-06	0.99999154
AP024742.1-710277-710288-710548-710559	3.5812462e-08	1.0
AP024742.1-711368-711381-711416-711429	6.143534e-05	0.9999386
AP024742.1-713519-713533-713564-713578	5.6043216e-05	0.999944
AP024742.1-716153-716166-716416-716429	1.0231284e-08	1.0
AP024742.1-720845-720858-721125-721138	2.9498166e-08	1.0
AP024742.1-726388-726399-726580-726591	0.00010519098	0.99989486
AP024742.1-727080-727093-727354-727367	4.8058628e-05	0.99995196
AP024742.1-733880-733893-733930-733943	0.0014837189	0.99851626
AP024742.1-734806-734817-734908-734919	1.294242e-07	0.9999999
AP024742.1-742686-742697-742764-742775	0.0023027905	0.9976972
AP024742.1-749941-749955-750175-750189	1.5352144e-07	0.9999999
AP024742.1-751174-751187-751353-751366	0.029592488	0.9704075
AP024742.1-752257-752271-752303-752317	2.0227055e-06	0.999998
AP024742.1-776458-776470-776516-776528	0.38510847	0.6148915
AP024742.1-779505-779518-779627-779640	4.0388222e-05	0.9999596
AP024742.1-794775-794786-794861-794872	5.9174577e-06	0.99999404
AP024742.1-794906-794921-795164-795179	1.979118e-08	1.0
AP024742.1-796361-796372-796415-796426	3.059408e-05	0.99996936
AP024742.1-798562-798573-798816-798827	2.856692e-06	0.99999714
AP024742.1-799822-799834-800097-800109	0.59892803	0.401072
AP024742.1-801826-801839-801973-801986	5.6790697e-07	0.9999994
AP024742.1-810621-810632-810901-810912	5.215674e-07	0.9999995
AP024742.1-818855-818866-818926-818937	0.35912934	0.6408707
AP024742.1-830385-830397-830665-830677	8.6912685e-08	0.9999999
AP024742.1-833386-833397-833501-833512	1.7874228e-05	0.9999821
AP024742.1-833888-833902-834019-834033	0.21455486	0.7854452
AP024742.1-834574-834587-834647-834660	5.9127876e-07	0.9999994
AP024742.1-840865-840878-841004-841017	9.697795e-07	0.99999905
AP024742.1-843146-843160-843372-843386	6.3851496e-07	0.9999994
AP024742.1-854610-854621-854811-854822	6.896418e-06	0.9999931
AP024742.1-859756-859769-859807-859820	0.4573224	0.5426776
AP024742.1-861566-861579-861636-861649	0.00014023091	0.9998597
AP024742.1-863328-863341-863446-863459	7.8170575e-07	0.99999917
AP024742.1-875382-875393-875479-875490	6.4747375e-08	0.9999999
AP024742.1-877048-877062-877100-877114	0.4109449	0.5890551
AP024742.1-886818-886832-886931-886945	1.1797312e-06	0.9999988
AP024742.1-891161-891172-891260-891271	0.2926423	0.7073577
AP024742.1-892239-892254-892340-892355	1.2349548e-06	0.9999988
AP024742.1-895339-895351-895405-895417	0.97993016	0.02006981
AP024742.1-912553-912564-912684-912695	0.6964981	0.30350184
AP024742.1-912734-912747-912818-912831	0.36394584	0.63605416
AP024742.1-915391-915402-915544-915555	1.358976e-07	0.9999999
AP024742.1-915555-915568-915636-915649	0.0013049186	0.9986951
AP024742.1-915895-915910-916098-916113	2.0822421e-07	0.99999976
AP024742.1-919867-919880-920039-920052	1.5703326e-07	0.9999999
AP024742.1-926787-926800-926880-926893	1.2635255e-05	0.99998736
AP024742.1-939219-939232-939436-939449	0.30231583	0.6976841
AP024742.1-947869-947882-947953-947966	9.537916e-07	0.99999905
AP024742.1-951051-951064-951120-951133	0.00065642095	0.9993436
AP024742.1-953188-953200-953334-953346	4.1152575e-07	0.99999964
AP024742.1-960738-960753-960985-961000	1.1817434e-06	0.9999988
AP024742.1-970511-970524-970565-970578	5.176395e-05	0.99994826
AP024742.1-973699-973711-973921-973933	2.1756162e-10	1.0
AP024742.1-974266-974277-974309-974320	0.8589164	0.1410836
AP024742.1-978386-978398-978479-978491	1.1214128e-06	0.9999989
AP024742.1-986389-986400-986531-986542	1.4710691e-06	0.99999857
AP024742.1-988179-988192-988308-988321	0.68032825	0.31967172
AP024742.1-989397-989412-989569-989584	0.48610967	0.5138904
AP024742.1-990168-990181-990280-990293	2.2701038e-06	0.99999774
AP024742.1-994280-994293-994535-994548	1.0864837e-08	1.0
AP024742.1-994813-994825-994970-994982	2.636423e-08	1.0
AP024742.1-997423-997435-997492-997504	0.99675936	0.00324063
AP024742.1-999808-999819-999904-999915	3.4933826e-05	0.9999651
AP024742.1-1007258-1007271-1007378-1007391	0.9700211	0.029978879
AP024742.1-1008183-1008196-1008398-1008411	4.8399578e-08	1.0
AP024742.1-1008371-1008386-1008484-1008499	1.6352858e-07	0.9999999
AP024742.1-1009397-1009411-1009672-1009686	1.541304e-07	0.9999999
AP024742.1-1009951-1009966-1010168-1010183	6.4112655e-08	0.9999999
AP024742.1-1018517-1018530-1018627-1018640	0.35548928	0.64451075
AP024742.1-1028173-1028187-1028274-1028288	7.512425e-05	0.9999249
AP024742.1-1031171-1031185-1031247-1031261	2.3209013e-06	0.99999774
AP024742.1-1039766-1039779-1039918-1039931	3.2356212e-07	0.99999964
AP024742.1-1041716-1041729-1041915-1041928	0.00040918856	0.9995908
AP024742.1-1043502-1043513-1043746-1043757	2.1265898e-09	1.0
AP024742.1-1044972-1044986-1045061-1045075	0.62523186	0.3747681
AP024742.1-1045166-1045180-1045277-1045291	0.0003996754	0.99960035
AP024742.1-1045729-1045742-1045797-1045810	0.18669912	0.81330085
AP024742.1-1051445-1051456-1051512-1051523	0.00013652013	0.9998635
AP024742.1-1057080-1057091-1057230-1057241	1.673293e-07	0.9999999
AP024742.1-1058691-1058705-1058842-1058856	5.809893e-06	0.99999416
AP024742.1-1064136-1064147-1064212-1064223	0.9898726	0.010127443
AP024742.1-1064402-1064418-1064467-1064483	0.23601474	0.7639853
AP024742.1-1066583-1066596-1066787-1066800	8.85424e-08	0.9999999
AP024742.1-1066928-1066939-1067034-1067045	7.524305e-07	0.9999993
AP024742.1-1067473-1067487-1067670-1067684	2.1968824e-06	0.99999785
AP024742.1-1070835-1070846-1071022-1071033	0.95806617	0.04193385
AP024742.1-1071775-1071789-1071837-1071851	4.6918585e-06	0.99999535
AP024742.1-1073512-1073528-1073686-1073702	0.6961652	0.30383483
AP024742.1-1077397-1077411-1077585-1077599	2.2474731e-05	0.99997747
AP024742.1-1080042-1080053-1080167-1080178	1.465329e-08	1.0
AP024742.1-1083907-1083920-1084088-1084101	2.7470856e-05	0.9999726
AP024742.1-1089735-1089748-1089819-1089832	7.764647e-07	0.99999917
AP024742.1-1096355-1096366-1096446-1096457	4.8275153e-05	0.9999517
AP024742.1-1099105-1099116-1099346-1099357	0.11791104	0.88208896
AP024742.1-1117095-1117106-1117316-1117327	0.9978157	0.0021842038
AP024742.1-1122771-1122784-1122892-1122905	0.0030547874	0.9969452
AP024742.1-1124025-1124038-1124225-1124238	2.3038587e-05	0.999977
AP024742.1-1127146-1127157-1127357-1127368	1.898669e-06	0.9999981
AP024742.1-1128769-1128783-1128859-1128873	6.187437e-07	0.9999994
AP024742.1-1132021-1132036-1132260-1132275	6.3231944e-08	0.9999999
AP024742.1-1135752-1135766-1135956-1135970	2.5753166e-06	0.9999974
AP024742.1-1137353-1137364-1137518-1137529	0.76676637	0.23323365
AP024742.1-1142411-1142422-1142624-1142635	5.420117e-07	0.9999994
AP024742.1-1146730-1146741-1146995-1147006	8.0067025e-10	1.0
AP024742.1-1149084-1149095-1149127-1149138	0.43916333	0.5608367
AP024742.1-1168678-1168692-1168754-1168768	0.0019747503	0.9980253
AP024742.1-1169120-1169134-1169270-1169284	0.000665715	0.9993343
AP024742.1-1169297-1169311-1169535-1169549	1.7371434e-08	1.0
AP024742.1-1174453-1174464-1174722-1174733	2.448669e-10	1.0
AP024742.1-1185619-1185631-1185756-1185768	0.67761856	0.32238144
AP024742.1-1186220-1186233-1186374-1186387	2.7977788e-07	0.99999976
AP024742.1-1192117-1192128-1192313-1192324	4.756204e-08	1.0
AP024742.1-1204148-1204163-1204289-1204304	0.99138266	0.008617406
AP024742.1-1204826-1204840-1204889-1204903	0.0025293254	0.99747074
AP024742.1-1205036-1205047-1205244-1205255	4.9379975e-07	0.9999995
AP024742.1-1205488-1205500-1205613-1205625	1.103547e-06	0.9999989
AP024742.1-1214059-1214070-1214201-1214212	6.8757777e-06	0.9999931
AP024742.1-1216248-1216260-1216481-1216493	6.2838853e-07	0.9999994
AP024742.1-1217006-1217021-1217161-1217176	2.4111683e-08	1.0
AP024742.1-1224741-1224756-1224904-1224919	0.5648984	0.43510163
AP024742.1-1231429-1231440-1231688-1231699	5.3528143e-10	1.0
AP024742.1-1232286-1232297-1232387-1232398	1.2358535e-05	0.9999876
AP024742.1-1236707-1236720-1236916-1236929	2.1305204e-06	0.99999785
AP024742.1-1237088-1237102-1237283-1237297	5.8128254e-08	1.0
AP024742.1-1237560-1237572-1237603-1237615	0.7529836	0.2470164
AP024742.1-1240673-1240685-1240883-1240895	0.9842451	0.015754852
AP024742.1-1243482-1243495-1243707-1243720	2.0269526e-07	0.99999976
AP024742.1-1247786-1247797-1247836-1247847	0.99670804	0.0032919513
AP024742.1-1259123-1259134-1259349-1259360	4.3472906e-07	0.9999995
AP024742.1-1260442-1260455-1260583-1260596	1.592073e-05	0.999984
AP024742.1-1263416-1263429-1263476-1263489	1.6897023e-06	0.99999833
AP024742.1-1265150-1265163-1265308-1265321	2.1158152e-07	0.99999976
AP024742.1-1266348-1266362-1266542-1266556	5.321715e-10	1.0
AP024742.1-1278298-1278310-1278370-1278382	1.7739329e-05	0.99998224
AP024742.1-1279614-1279625-1279790-1279801	0.28236163	0.7176383
AP024742.1-1280917-1280928-1281104-1281115	0.62430876	0.37569132
AP024742.1-1293406-1293418-1293483-1293495	2.6502723e-05	0.99997354
AP024742.1-1294058-1294069-1294319-1294330	0.000113513735	0.9998865
AP024742.1-1295927-1295940-1296166-1296179	0.00058512046	0.9994149
AP024742.1-1298862-1298875-1298957-1298970	0.35220432	0.6477957
AP024742.1-1299312-1299324-1299419-1299431	3.50945e-05	0.99996495
AP024742.1-1300237-1300256-1300367-1300386	0.003011669	0.99698836
AP024742.1-1320274-1320287-1320504-1320517	2.0313282e-09	1.0
AP024742.1-1320644-1320655-1320708-1320719	0.00028115214	0.99971884
AP024742.1-1325041-1325054-1325314-1325327	1.2022081e-05	0.99998796
AP024742.1-1332258-1332271-1332461-1332474	2.0867942e-07	0.99999976
AP024742.1-1335120-1335133-1335362-1335375	5.533174e-07	0.9999994
AP024742.1-1338516-1338530-1338770-1338784	1.4212384e-05	0.9999858
AP024742.1-1339745-1339758-1339849-1339862	1.2108683e-07	0.9999999
AP024742.1-1347813-1347826-1348002-1348015	4.2083843e-06	0.9999958
AP024742.1-1349913-1349926-1350010-1350023	5.1592215e-06	0.9999949
AP024742.1-1350364-1350379-1350520-1350535	1.9897031e-07	0.99999976
AP024742.1-1350773-1350786-1350953-1350966	2.0735308e-07	0.99999976
AP024742.1-1353725-1353741-1353847-1353863	2.516166e-06	0.9999975
AP024742.1-1362533-1362549-1362643-1362659	0.34360367	0.65639627
AP024742.1-1362777-1362791-1362941-1362955	0.24495658	0.75504345
AP024742.1-1369085-1369098-1369220-1369233	0.0001853328	0.9998147
AP024742.1-1369516-1369529-1369571-1369584	0.26656505	0.733435
AP024742.1-1370234-1370246-1370282-1370294	0.279663	0.720337
AP024742.1-1371227-1371240-1371356-1371369	3.6854397e-07	0.99999964
AP024742.1-1375761-1375772-1375989-1376000	9.372202e-06	0.9999906
AP024742.1-1384393-1384413-1384467-1384487	0.5912597	0.40874025
AP024742.1-1389102-1389115-1389302-1389315	1.702192e-07	0.9999999
AP024742.1-1390431-1390451-1390501-1390521	8.806651e-06	0.9999912
AP024742.1-1392420-1392433-1392558-1392571	0.9521808	0.04781922
AP024742.1-1395167-1395178-1395217-1395228	0.0012820375	0.998718
AP024742.1-1403069-1403080-1403146-1403157	0.00027824097	0.9997217
AP024742.1-1405398-1405410-1405657-1405669	6.898465e-08	0.9999999
AP024742.1-1409409-1409423-1409651-1409665	0.69560486	0.3043951
AP024742.1-1409840-1409852-1409984-1409996	0.39582804	0.60417193
AP024742.1-1411167-1411180-1411366-1411379	0.46062872	0.53937125
AP024742.1-1413155-1413169-1413315-1413329	1.11876425e-07	0.9999999
AP024742.1-1418150-1418162-1418195-1418207	0.007525545	0.9924744
AP024742.1-1420095-1420108-1420260-1420273	1.1958253e-08	1.0
AP024742.1-1423991-1424005-1424232-1424246	3.3470396e-08	1.0
AP024742.1-1426950-1426964-1427013-1427027	0.19159013	0.80840987
AP024742.1-1427160-1427171-1427370-1427381	2.0086748e-08	1.0
AP024742.1-1430226-1430237-1430290-1430301	9.496098e-06	0.99999046
AP024742.1-1430580-1430594-1430721-1430735	1.2244716e-06	0.9999988
AP024742.1-1432232-1432243-1432507-1432518	5.773637e-10	1.0
AP024742.1-1439784-1439796-1440061-1440073	1.3844226e-07	0.9999999
AP024742.1-1454807-1454818-1454896-1454907	1.1812539e-07	0.9999999
AP024742.1-1465693-1465706-1465854-1465867	2.3017083e-07	0.99999976
AP024742.1-1467046-1467061-1467093-1467108	0.7451541	0.2548459
AP024742.1-1467334-1467345-1467406-1467417	0.00020485428	0.99979514
AP024742.1-1470836-1470849-1470935-1470948	0.0005015661	0.99949837
AP024742.1-1477606-1477617-1477751-1477762	5.36125e-07	0.9999995
AP024742.1-1487833-1487847-1488008-1488022	0.99416095	0.005839039
AP024742.1-1502795-1502806-1503018-1503029	2.364202e-06	0.9999976
AP024742.1-1503891-1503905-1504028-1504042	1.538078e-05	0.9999846
AP024742.1-1527186-1527197-1527361-1527372	0.00058994745	0.99941003
AP024742.1-1528024-1528037-1528186-1528199	1.4961343e-07	0.9999999
AP024742.1-1532919-1532930-1532993-1533004	0.000101048194	0.9998989
AP024742.1-1533058-1533071-1533230-1533243	1.2115214e-06	0.9999988
AP024742.1-1539152-1539167-1539384-1539399	0.09034945	0.9096505
AP024742.1-1540975-1540986-1541192-1541203	1.2977082e-10	1.0
AP024742.1-1546559-1546572-1546769-1546782	2.3581963e-06	0.9999976
AP024742.1-1548566-1548579-1548632-1548645	0.38369012	0.6163099
AP024742.1-1550751-1550765-1550831-1550845	0.95162624	0.048373777
AP024742.1-1565401-1565412-1565462-1565473	2.9347036e-06	0.999997
AP024742.1-1567659-1567674-1567731-1567746	9.72549e-06	0.9999902
AP024742.1-1572186-1572199-1572337-1572350	3.300281e-08	1.0
AP024742.1-1576990-1577005-1577146-1577161	0.50369143	0.4963085
AP024742.1-1577189-1577200-1577300-1577311	4.062452e-07	0.99999964
AP024742.1-1583666-1583679-1583878-1583891	2.4094726e-07	0.99999976
AP024742.1-1594159-1594172-1594332-1594345	0.0009262851	0.99907374
AP024742.1-1600480-1600491-1600694-1600705	5.339951e-07	0.9999995
AP024742.1-1605489-1605500-1605765-1605776	1.6066555e-07	0.9999999
AP024742.1-1607770-1607783-1607931-1607944	9.605684e-09	1.0
AP024742.1-1608664-1608675-1608802-1608813	3.063446e-05	0.99996936
AP024742.1-1612632-1612645-1612734-1612747	1.2057317e-06	0.9999988
AP024742.1-1622485-1622496-1622631-1622642	0.63974065	0.36025938
AP024742.1-1623399-1623410-1623441-1623452	0.0007556274	0.99924445
AP024742.1-1625665-1625678-1625723-1625736	7.414931e-05	0.99992585
AP024742.1-1629850-1629861-1630041-1630052	8.6935565e-08	0.9999999
AP024742.1-1631727-1631740-1631823-1631836	2.3296929e-05	0.99997675
AP024742.1-1635442-1635455-1635705-1635718	8.930715e-06	0.99999106
AP024742.1-1637043-1637054-1637124-1637135	0.0005580471	0.9994419
AP024742.1-1638907-1638920-1639004-1639017	1.9460522e-06	0.9999981
AP024742.1-1641453-1641464-1641681-1641692	9.739622e-09	1.0
AP024742.1-1652281-1652294-1652382-1652395	2.9010454e-07	0.99999976
AP024742.1-1658417-1658429-1658690-1658702	3.9928564e-06	0.99999607
AP024742.1-1682996-1683007-1683039-1683050	0.57382786	0.42617208
AP024742.1-1710200-1710213-1710303-1710316	6.5067502e-09	1.0
AP024742.1-1713342-1713355-1713531-1713544	2.7807646e-06	0.99999726
AP024742.1-1722841-1722854-1722978-1722991	2.8816803e-05	0.99997115
AP024742.1-1723643-1723656-1723785-1723798	5.7597026e-06	0.9999943
AP024742.1-1725514-1725528-1725649-1725663	1.62219e-06	0.99999833
AP024742.1-1726360-1726371-1726625-1726636	8.656658e-08	0.9999999
AP024742.1-1751022-1751033-1751258-1751269	1.403823e-07	0.9999999
AP024742.1-1752235-1752251-1752355-1752371	0.0010928181	0.9989072
AP024742.1-1754191-1754207-1754246-1754262	0.42745003	0.57254994
AP024742.1-1755302-1755313-1755501-1755512	2.1839128e-08	1.0
AP024742.1-1756187-1756203-1756331-1756347	0.0070147836	0.9929852
AP024742.1-1758971-1758982-1759155-1759166	0.649234	0.35076597
AP024742.1-1765545-1765558-1765596-1765609	0.4573224	0.5426776
AP024742.1-1767340-1767353-1767410-1767423	0.00014023091	0.9998597
AP024742.1-1768038-1768051-1768268-1768281	0.35558644	0.64441353
AP024742.1-1770873-1770884-1771087-1771098	3.4561324e-08	1.0
AP024742.1-1778295-1778308-1778497-1778510	1.5511617e-07	0.9999999
AP024742.1-1779980-1779993-1780082-1780095	2.527206e-05	0.9999747
AP024742.1-1791986-1791999-1792217-1792230	2.3276648e-08	1.0
AP024742.1-1801412-1801426-1801492-1801506	9.45162e-06	0.9999906
AP024742.1-1806392-1806403-1806541-1806552	0.30675438	0.6932456
AP024742.1-1813381-1813395-1813436-1813450	0.2870875	0.7129125
AP024742.1-1816176-1816189-1816438-1816451	0.6585293	0.34147072
AP024742.1-1825851-1825865-1825986-1826000	0.01373409	0.98626596
AP024742.1-1826364-1826376-1826451-1826463	4.1087537e-06	0.99999595
AP024742.1-1832041-1832056-1832122-1832137	2.676591e-05	0.9999732
AP024742.1-1832687-1832699-1832903-1832915	1.4972876e-07	0.9999999
AP024742.1-1842936-1842950-1843060-1843074	0.32376054	0.6762395
